NL,OCL,Tag,,,
" user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid
  loans is the set of class Loan, including all l in the instance set of class Loan. l represents an object of class Loan, and l meets:
      The object l is linked to the object user by LoanedUser
      The attribute DueDate of the object l is before Today
      The attribute IsReturned of the object l is equal to true
      The attribute OverDueFee of the object l is greater than 0","   user:User = User.allInstance()->any(u:User | u.UserID = uid),
   loans:Set(Loan) = Loan.allInstance()->select(l:Loan | l.LoanedUser = user and l.DueDate.isBefore(Today)and l.IsReturned = true and l.OverDueFee > 0)
","Definition
","Generate OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid
  loans is the set of class Loan, including all l in the instance set of class Loan. l represents an object of class Loan, and l meets:
      The object l is linked to the object user by LoanedUser
      The attribute DueDate of the object l is before Today
      The attribute IsReturned of the object l is equal to true
      The attribute OverDueFee of the object l is greater than 0","Concode OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid
  loans is the set of class Loan, including all l in the instance set of class Loan. l represents an object of class Loan, and l meets:
      The object l is linked to the object user by LoanedUser
      The attribute DueDate of the object l is before Today
      The attribute IsReturned of the object l is equal to true
      The attribute OverDueFee of the object l is greater than 0","Concode OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid
  loans is the set of class Loan, including all l in the instance set of class Loan. l represents an object of class Loan, and l meets:
      The object l is linked to the object user by LoanedUser
      The attribute DueDate of the object l is before Today
      The attribute IsReturned of the object l is equal to true
      The attribute OverDueFee of the object l is greater than 0"
" user exists
  The set loans is not empty
  The fee is greater than or equal to the attribute OverDueFee of the object user","   user.oclIsUndefined() = false and
   loans.notEmpty() and
   fee >= user.OverDueFee
","Precondition
","Generate OCL : user exists
  The set loans is not empty
  The fee is greater than or equal to the attribute OverDueFee of the object user","Concode OCL : user exists
  The set loans is not empty
  The fee is greater than or equal to the attribute OverDueFee of the object user","Concode OCL : user exists
  The set loans is not empty
  The fee is greater than or equal to the attribute OverDueFee of the object user"
" The attribute OverDueFee of the object user became 0
  For each object of class Loan in the set loans, l represented it(the object) and the following operations were performed:
      The attribute OverDueFee of the object l was equal to 0
  The return value was true","   user.OverDueFee = 0 and
   loans->forAll(l:Loan |
    l.OverDueFee = 0)
   and
   result = true
","Postcondition
","Generate OCL : The attribute OverDueFee of the object user became 0
  For each object of class Loan in the set loans, l represented it(the object) and the following operations were performed:
      The attribute OverDueFee of the object l was equal to 0
  The return value was true","Concode OCL : The attribute OverDueFee of the object user became 0
  For each object of class Loan in the set loans, l represented it(the object) and the following operations were performed:
      The attribute OverDueFee of the object l was equal to 0
  The return value was true","Concode OCL : The attribute OverDueFee of the object user became 0
  For each object of class Loan in the set loans, l represented it(the object) and the following operations were performed:
      The attribute OverDueFee of the object l was equal to 0
  The return value was true"
" users is the set of class User, including all user in the instance set of class User. user represents an object of class User, and user meets:
      At least one loan exists in all objects which user is linked to by LoanedBook. loan represents an object of class Loan, and loan meets:
          The attribute IsReturned of the object loan is equal to false
          The day 3 days after Today is after the attribute DueDate of the object loan","   users:Set(User) = User.allInstance()->select(user:User | user.LoanedBook->exists(loan:Loan | loan.IsReturned = false and Today.After(3).isAfter(loan.DueDate)))
","Definition
","Generate OCL : users is the set of class User, including all user in the instance set of class User. user represents an object of class User, and user meets:
      At least one loan exists in all objects which user is linked to by LoanedBook. loan represents an object of class Loan, and loan meets:
          The attribute IsReturned of the object loan is equal to false
          The day 3 days after Today is after the attribute DueDate of the object loan","Concode OCL : users is the set of class User, including all user in the instance set of class User. user represents an object of class User, and user meets:
      At least one loan exists in all objects which user is linked to by LoanedBook. loan represents an object of class Loan, and loan meets:
          The attribute IsReturned of the object loan is equal to false
          The day 3 days after Today is after the attribute DueDate of the object loan","Concode OCL : users is the set of class User, including all user in the instance set of class User. user represents an object of class User, and user meets:
      At least one loan exists in all objects which user is linked to by LoanedBook. loan represents an object of class Loan, and loan meets:
          The attribute IsReturned of the object loan is equal to false
          The day 3 days after Today is after the attribute DueDate of the object loan"
" loans is the set of class Loan, including all loan in the instance set of class Loan. loan represents an object of class Loan, and loan meets:
      The attribute IsReturned of the object loan is equal to false
      The attribute DueDate of the object loan is before Today","   loans:Set(Loan) = Loan.allInstance()->select(loan:Loan | loan.IsReturned = false and loan.DueDate.isBefore(Today))
","Definition
","Generate OCL : loans is the set of class Loan, including all loan in the instance set of class Loan. loan represents an object of class Loan, and loan meets:
      The attribute IsReturned of the object loan is equal to false
      The attribute DueDate of the object loan is before Today","Concode OCL : loans is the set of class Loan, including all loan in the instance set of class Loan. loan represents an object of class Loan, and loan meets:
      The attribute IsReturned of the object loan is equal to false
      The attribute DueDate of the object loan is before Today","Concode OCL : loans is the set of class Loan, including all loan in the instance set of class Loan. loan represents an object of class Loan, and loan meets:
      The attribute IsReturned of the object loan is equal to false
      The attribute DueDate of the object loan is before Today"
" For each object of class Loan in the set loans, loan represented it(the object) and the following operations were performed:
      The attribute IsReturned of the object loan was equal to false
      If the day 3 days before Today was after the attribute DueDate of the object loan, and the attribute OverDue3Days of the object loan was equal to false, take the following as postcondition(s):
          The attribute BorrowStatus of the object loan became SUSPEND
          The system operation sendNotificationEmail was executed
          The attribute OverDue3Days of the object loan became true
      If the day 10 days before Today was after the attribute DueDate of the object loan, and the attribute OverDue10Days of the object loan was equal to false, take the following as postcondition(s):
          The attribute SuspensionDays of the object loan became the previous value of the attribute SuspensionDays of the object loan plus 14
          The system operation sendNotificationEmail was executed
          The attribute OverDue10Days of the object loan became true
      If the day 17 days before Today was after the attribute DueDate of the object loan, and the attribute OverDue17Days of the object loan was equal to false, take the following as postcondition(s):
          The attribute SuspensionDays of the object loan became the previous value of the attribute SuspensionDays of the object loan plus 30
          The system operation sendNotificationEmail was executed
          The attribute OverDue17Days of the object loan became true
      If the day 31 days before Today was after the attribute DueDate of the object loan, and the attribute OverDue31Days of the object loan was equal to false, take the following as postcondition(s):
          The attribute OverDueFee of the object loan became 60
          The system operation sendNotificationEmail was executed
          The attribute OverDue31Days of the object loan became true
          The attribute OverDueFee of the object loan became the previous value of the attribute OverDueFee of the object loan plus the attribute OverDueFee of the object loan","   loans->forAll(loan:Loan |
    loan.IsReturned = false and
    if
     Today.Before(3).isAfter(loan.DueDate) and
     loan.OverDue3Days = false
    then
     loan.LoanedUser.BorrowStatus = BorrowStatus::SUSPEND and
     sendNotificationEmail(loan.LoanedUser.Email) and
     loan.OverDue3Days = true
    endif and
    if
     Today.Before(10).isAfter(loan.DueDate) and
     loan.OverDue10Days = false
    then
     loan.LoanedUser.SuspensionDays = loan.LoanedUser.SuspensionDays@pre + 14 and
     sendNotificationEmail(loan.LoanedUser.Email) and
     loan.OverDue10Days = true
    endif and
    if
     Today.Before(17).isAfter(loan.DueDate) and
     loan.OverDue17Days = false
    then
     loan.LoanedUser.SuspensionDays = loan.LoanedUser.SuspensionDays@pre + 30 and
     sendNotificationEmail(loan.LoanedUser.Email) and
     loan.OverDue17Days = true
    endif and
    if
     Today.Before(31).isAfter(loan.DueDate) and
     loan.OverDue31Days = false
    then
     loan.OverDueFee = 60 and
     sendNotificationEmail(loan.LoanedUser.Email) and
     loan.OverDue31Days = true and
     loan.LoanedUser.OverDueFee = loan.LoanedUser.OverDueFee@pre + loan.OverDueFee
    endif
   )
","Postcondition
","Generate OCL : For each object of class Loan in the set loans, loan represented it(the object) and the following operations were performed:
      The attribute IsReturned of the object loan was equal to false
      If the day 3 days before Today was after the attribute DueDate of the object loan, and the attribute OverDue3Days of the object loan was equal to false, take the following as postcondition(s):
          The attribute BorrowStatus of the object loan became SUSPEND
          The system operation sendNotificationEmail was executed
          The attribute OverDue3Days of the object loan became true
      If the day 10 days before Today was after the attribute DueDate of the object loan, and the attribute OverDue10Days of the object loan was equal to false, take the following as postcondition(s):
          The attribute SuspensionDays of the object loan became the previous value of the attribute SuspensionDays of the object loan plus 14
          The system operation sendNotificationEmail was executed
          The attribute OverDue10Days of the object loan became true
      If the day 17 days before Today was after the attribute DueDate of the object loan, and the attribute OverDue17Days of the object loan was equal to false, take the following as postcondition(s):
          The attribute SuspensionDays of the object loan became the previous value of the attribute SuspensionDays of the object loan plus 30
          The system operation sendNotificationEmail was executed
          The attribute OverDue17Days of the object loan became true
      If the day 31 days before Today was after the attribute DueDate of the object loan, and the attribute OverDue31Days of the object loan was equal to false, take the following as postcondition(s):
          The attribute OverDueFee of the object loan became 60
          The system operation sendNotificationEmail was executed
          The attribute OverDue31Days of the object loan became true
          The attribute OverDueFee of the object loan became the previous value of the attribute OverDueFee of the object loan plus the attribute OverDueFee of the object loan","Concode OCL : For each object of class Loan in the set loans, loan represented it(the object) and the following operations were performed:
      The attribute IsReturned of the object loan was equal to false
      If the day 3 days before Today was after the attribute DueDate of the object loan, and the attribute OverDue3Days of the object loan was equal to false, take the following as postcondition(s):
          The attribute BorrowStatus of the object loan became SUSPEND
          The system operation sendNotificationEmail was executed
          The attribute OverDue3Days of the object loan became true
      If the day 10 days before Today was after the attribute DueDate of the object loan, and the attribute OverDue10Days of the object loan was equal to false, take the following as postcondition(s):
          The attribute SuspensionDays of the object loan became the previous value of the attribute SuspensionDays of the object loan plus 14
          The system operation sendNotificationEmail was executed
          The attribute OverDue10Days of the object loan became true
      If the day 17 days before Today was after the attribute DueDate of the object loan, and the attribute OverDue17Days of the object loan was equal to false, take the following as postcondition(s):
          The attribute SuspensionDays of the object loan became the previous value of the attribute SuspensionDays of the object loan plus 30
          The system operation sendNotificationEmail was executed
          The attribute OverDue17Days of the object loan became true
      If the day 31 days before Today was after the attribute DueDate of the object loan, and the attribute OverDue31Days of the object loan was equal to false, take the following as postcondition(s):
          The attribute OverDueFee of the object loan became 60
          The system operation sendNotificationEmail was executed
          The attribute OverDue31Days of the object loan became true
          The attribute OverDueFee of the object loan became the previous value of the attribute OverDueFee of the object loan plus the attribute OverDueFee of the object loan","Concode OCL : For each object of class Loan in the set loans, loan represented it(the object) and the following operations were performed:
      The attribute IsReturned of the object loan was equal to false
      If the day 3 days before Today was after the attribute DueDate of the object loan, and the attribute OverDue3Days of the object loan was equal to false, take the following as postcondition(s):
          The attribute BorrowStatus of the object loan became SUSPEND
          The system operation sendNotificationEmail was executed
          The attribute OverDue3Days of the object loan became true
      If the day 10 days before Today was after the attribute DueDate of the object loan, and the attribute OverDue10Days of the object loan was equal to false, take the following as postcondition(s):
          The attribute SuspensionDays of the object loan became the previous value of the attribute SuspensionDays of the object loan plus 14
          The system operation sendNotificationEmail was executed
          The attribute OverDue10Days of the object loan became true
      If the day 17 days before Today was after the attribute DueDate of the object loan, and the attribute OverDue17Days of the object loan was equal to false, take the following as postcondition(s):
          The attribute SuspensionDays of the object loan became the previous value of the attribute SuspensionDays of the object loan plus 30
          The system operation sendNotificationEmail was executed
          The attribute OverDue17Days of the object loan became true
      If the day 31 days before Today was after the attribute DueDate of the object loan, and the attribute OverDue31Days of the object loan was equal to false, take the following as postcondition(s):
          The attribute OverDueFee of the object loan became 60
          The system operation sendNotificationEmail was executed
          The attribute OverDue31Days of the object loan became true
          The attribute OverDueFee of the object loan became the previous value of the attribute OverDueFee of the object loan plus the attribute OverDueFee of the object loan"
 None,"   true
","Precondition
",Generate OCL : None,Concode OCL : None,Concode OCL : None
" For each object of class User in the set users, u represented it(the object) and the following operations were performed:
      The attribute SuspensionDays of the object u was equal to the previous value of the attribute SuspensionDays of the object u minus 1
      If the attribute BorrowStatus of the object u was equal to SUSPEND, and the attribute OverDueFee of the object u was equal to 0, and the attribute SuspensionDays of the object u was equal to 0, take the following as postcondition(s):
          The attribute BorrowStatus of the object u became NORMAL","   users->forAll(u:User |
    u.SuspensionDays = u.SuspensionDays@pre - 1 and
    if
     u.BorrowStatus = BorrowStatus::SUSPEND and
     u.OverDueFee = 0 and
     u.SuspensionDays = 0
    then
     u.BorrowStatus = BorrowStatus::NORMAL
    endif
   )
","Postcondition
","Generate OCL : For each object of class User in the set users, u represented it(the object) and the following operations were performed:
      The attribute SuspensionDays of the object u was equal to the previous value of the attribute SuspensionDays of the object u minus 1
      If the attribute BorrowStatus of the object u was equal to SUSPEND, and the attribute OverDueFee of the object u was equal to 0, and the attribute SuspensionDays of the object u was equal to 0, take the following as postcondition(s):
          The attribute BorrowStatus of the object u became NORMAL","Concode OCL : For each object of class User in the set users, u represented it(the object) and the following operations were performed:
      The attribute SuspensionDays of the object u was equal to the previous value of the attribute SuspensionDays of the object u minus 1
      If the attribute BorrowStatus of the object u was equal to SUSPEND, and the attribute OverDueFee of the object u was equal to 0, and the attribute SuspensionDays of the object u was equal to 0, take the following as postcondition(s):
          The attribute BorrowStatus of the object u became NORMAL","Concode OCL : For each object of class User in the set users, u represented it(the object) and the following operations were performed:
      The attribute SuspensionDays of the object u was equal to the previous value of the attribute SuspensionDays of the object u minus 1
      If the attribute BorrowStatus of the object u was equal to SUSPEND, and the attribute OverDueFee of the object u was equal to 0, and the attribute SuspensionDays of the object u was equal to 0, take the following as postcondition(s):
          The attribute BorrowStatus of the object u became NORMAL"
" user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid","   user:User = User.allInstance()->any(u:User | u.UserID = uid)
","Definition
","Generate OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid","Concode OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid","Concode OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid"
 user exists,"   user.oclIsUndefined() = false
  // postcondition: result = user.LoanedBook->collect(l:Loan| l.LoanedCopy)
","Precondition
",Generate OCL : user exists,Concode OCL : user exists,Concode OCL : user exists
 The return value was the object which user was linked to by LoanedBook,"   result = user.LoanedBook
","Postcondition
",Generate OCL : The return value was the object which user was linked to by LoanedBook,Concode OCL : The return value was the object which user was linked to by LoanedBook,Concode OCL : The return value was the object which user was linked to by LoanedBook
" user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid","   user:User = User.allInstance()->any(u:User | u.UserID = uid)
","Definition
","Generate OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid","Concode OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid","Concode OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid"
 user exists,"   user.oclIsUndefined() = false
","Precondition
",Generate OCL : user exists,Concode OCL : user exists,Concode OCL : user exists
" The return value was the set of class Loan, including all l in all objects which user was linked to by LoanedBook. l represented an object of class Loan, and l meet:
      The attribute IsReturned of the object l was equal to false","   result = user.LoanedBook->select(l:Loan | l.IsReturned = false)
","Postcondition
","Generate OCL : The return value was the set of class Loan, including all l in all objects which user was linked to by LoanedBook. l represented an object of class Loan, and l meet:
      The attribute IsReturned of the object l was equal to false","Concode OCL : The return value was the set of class Loan, including all l in all objects which user was linked to by LoanedBook. l represented an object of class Loan, and l meet:
      The attribute IsReturned of the object l was equal to false","Concode OCL : The return value was the set of class Loan, including all l in all objects which user was linked to by LoanedBook. l represented an object of class Loan, and l meet:
      The attribute IsReturned of the object l was equal to false"
" user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid
  loans is the set of class Loan, including all l in all objects which user is linked to by LoanedBook. l represents an object of class Loan, and l meets:
      The attribute IsReturned of the object l is equal to false
      The attribute OverDueFee of the object l is greater than 0","   user:User = User.allInstance()->any(u:User | u.UserID = uid),
   loans:Set(Loan) = user.LoanedBook->select(l:Loan | l.IsReturned = false and l.OverDueFee > 0)
","Definition
","Generate OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid
  loans is the set of class Loan, including all l in all objects which user is linked to by LoanedBook. l represents an object of class Loan, and l meets:
      The attribute IsReturned of the object l is equal to false
      The attribute OverDueFee of the object l is greater than 0","Concode OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid
  loans is the set of class Loan, including all l in all objects which user is linked to by LoanedBook. l represents an object of class Loan, and l meets:
      The attribute IsReturned of the object l is equal to false
      The attribute OverDueFee of the object l is greater than 0","Concode OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid
  loans is the set of class Loan, including all l in all objects which user is linked to by LoanedBook. l represents an object of class Loan, and l meets:
      The attribute IsReturned of the object l is equal to false
      The attribute OverDueFee of the object l is greater than 0"
" user exists
  loans exists","   user.oclIsUndefined() = false and
   loans.oclIsUndefined() = false
","Precondition
","Generate OCL : user exists
  loans exists","Concode OCL : user exists
  loans exists","Concode OCL : user exists
  loans exists"
 The return value was all objects which each object in the set loans was linked to by LoanedCopy,"   result = loans->collect(l:Loan | l.LoanedCopy)
","Postcondition
",Generate OCL : The return value was all objects which each object in the set loans was linked to by LoanedCopy,Concode OCL : The return value was all objects which each object in the set loans was linked to by LoanedCopy,Concode OCL : The return value was all objects which each object in the set loans was linked to by LoanedCopy
" user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid
  res is the Set of class Reserve, including  which user is linked to","   user:User = User.allInstance()->any(u:User | u.UserID = uid),
   res:Set(Reserve) = user.ReservedBook
","Definition
","Generate OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid
  res is the Set of class Reserve, including  which user is linked to","Concode OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid
  res is the Set of class Reserve, including  which user is linked to","Concode OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid
  res is the Set of class Reserve, including  which user is linked to"
" user exists
  res exists","   user.oclIsUndefined() = false and
   res.oclIsUndefined() = false
","Precondition
","Generate OCL : user exists
  res exists","Concode OCL : user exists
  res exists","Concode OCL : user exists
  res exists"
 The return value was all objects which each object in the set res was linked to by ReservedCopy,"   result = res->collect(r:Reserve | r.ReservedCopy)
","Postcondition
",Generate OCL : The return value was all objects which each object in the set res was linked to by ReservedCopy,Concode OCL : The return value was all objects which each object in the set res was linked to by ReservedCopy,Concode OCL : The return value was all objects which each object in the set res was linked to by ReservedCopy
" user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid
  rBooks is the Set of class RecommendBook, including  which user is linked to","   user:User = User.allInstance()->any(u:User | u.UserID = uid),
   rBooks:Set(RecommendBook) = user.RecommendedBook
","Definition
","Generate OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid
  rBooks is the Set of class RecommendBook, including  which user is linked to","Concode OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid
  rBooks is the Set of class RecommendBook, including  which user is linked to","Concode OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid
  rBooks is the Set of class RecommendBook, including  which user is linked to"
" user exists
  rBooks exists","   user.oclIsUndefined() = false and
   rBooks.oclIsUndefined() = false
","Precondition
","Generate OCL : user exists
  rBooks exists","Concode OCL : user exists
  rBooks exists","Concode OCL : user exists
  rBooks exists"
 The return value was rBooks,"   result = rBooks
","Postcondition
",Generate OCL : The return value was rBooks,Concode OCL : The return value was rBooks,Concode OCL : The return value was rBooks
" user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid
  rb is the object r in the instance set of class RecommendBook. r represents an object of class RecommendBook, and r meets:
      The attribute CallNo of the object r is equal to callNo","   user:User = User.allInstance()->any(u:User | u.UserID = uid),
   rb:RecommendBook = RecommendBook.allInstance()->any(r:RecommendBook | r.CallNo = callNo)
","Definition
","Generate OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid
  rb is the object r in the instance set of class RecommendBook. r represents an object of class RecommendBook, and r meets:
      The attribute CallNo of the object r is equal to callNo","Concode OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid
  rb is the object r in the instance set of class RecommendBook. r represents an object of class RecommendBook, and r meets:
      The attribute CallNo of the object r is equal to callNo","Concode OCL : user is the object u in the instance set of class User. u represents an object of class User, and u meets:
      The attribute UserID of the object u is equal to uid
  rb is the object r in the instance set of class RecommendBook. r represents an object of class RecommendBook, and r meets:
      The attribute CallNo of the object r is equal to callNo"
" user exists
  rb doesn't exist","   user.oclIsUndefined() = false and
   rb.oclIsUndefined() = true
","Precondition
","Generate OCL : user exists
  rb doesn't exist","Concode OCL : user exists
  rb doesn't exist","Concode OCL : user exists
  rb doesn't exist"
" r represented the object of class RecommendBook
  The object r was created
  The attribute CallNo of the object r became callNo
  The attribute Title of the object r became title
  The attribute Edition of the object r became edition
  The attribute Author of the object r became author
  The attribute Publisher of the object r became publisher
  The attribute Description of the object r became description
  The attribute ISBn of the object r became isbn
  The attribute RecommendDate of the object r became Today
  The object r was linked to the object user by RecommendUser
  The object user was linked to the object r by RecommendedBook
  The object r was put into the instance set of class RecommendBook
  The return value was true","   let r:RecommendBook in
   r.oclIsNew() and
   r.CallNo = callNo and
   r.Title = title and
   r.Edition = edition and
   r.Author = author and
   r.Publisher = publisher and
   r.Description = description and
   r.ISBn = isbn and
   r.RecommendDate = Today and
   r.RecommendUser = user and
   user.RecommendedBook->includes(r) and
   RecommendBook.allInstance()->includes(r) and
   result = true
","Postcondition
","Generate OCL : r represented the object of class RecommendBook
  The object r was created
  The attribute CallNo of the object r became callNo
  The attribute Title of the object r became title
  The attribute Edition of the object r became edition
  The attribute Author of the object r became author
  The attribute Publisher of the object r became publisher
  The attribute Description of the object r became description
  The attribute ISBn of the object r became isbn
  The attribute RecommendDate of the object r became Today
  The object r was linked to the object user by RecommendUser
  The object user was linked to the object r by RecommendedBook
  The object r was put into the instance set of class RecommendBook
  The return value was true","Concode OCL : r represented the object of class RecommendBook
  The object r was created
  The attribute CallNo of the object r became callNo
  The attribute Title of the object r became title
  The attribute Edition of the object r became edition
  The attribute Author of the object r became author
  The attribute Publisher of the object r became publisher
  The attribute Description of the object r became description
  The attribute ISBn of the object r became isbn
  The attribute RecommendDate of the object r became Today
  The object r was linked to the object user by RecommendUser
  The object user was linked to the object r by RecommendedBook
  The object r was put into the instance set of class RecommendBook
  The return value was true","Concode OCL : r represented the object of class RecommendBook
  The object r was created
  The attribute CallNo of the object r became callNo
  The attribute Title of the object r became title
  The attribute Edition of the object r became edition
  The attribute Author of the object r became author
  The attribute Publisher of the object r became publisher
  The attribute Description of the object r became description
  The attribute ISBn of the object r became isbn
  The attribute RecommendDate of the object r became Today
  The object r was linked to the object user by RecommendUser
  The object user was linked to the object r by RecommendedBook
  The object r was put into the instance set of class RecommendBook
  The return value was true"
" user is the object u in the instance set of class Student. u represents an object of class Student, and u meets:
      The attribute UserID of the object u is equal to userID","   user:Student = Student.allInstance()->any(u:Student | u.UserID = userID)
","Definition
","Generate OCL : user is the object u in the instance set of class Student. u represents an object of class Student, and u meets:
      The attribute UserID of the object u is equal to userID","Concode OCL : user is the object u in the instance set of class Student. u represents an object of class Student, and u meets:
      The attribute UserID of the object u is equal to userID","Concode OCL : user is the object u in the instance set of class Student. u represents an object of class Student, and u meets:
      The attribute UserID of the object u is equal to userID"
 user doesn't exist,"   user.oclIsUndefined() = true
","Precondition
",Generate OCL : user doesn't exist,Concode OCL : user doesn't exist,Concode OCL : user doesn't exist
" u represented the object of class Student
  The object u was created
  The attribute UserID of the object u became userID
  The attribute Name of the object u became name
  The attribute Email of the object u became email
  The attribute Password of the object u became password
  The attribute Sex of the object u became sex
  The attribute Faculty of the object u became faculty
  The attribute LoanedNumber of the object u became 0
  The attribute BorrowStatus of the object u became NORMAL
  The attribute SuspensionDays of the object u became 0
  The attribute OverDueFee of the object u became 0
  The attribute Major of the object u became major
  The attribute Programme of the object u became programme
  The attribute RegistrationStatus of the object u became registrationStatus
  The object u was put into the instance set of class User
  The object u was put into the instance set of class Student
  The return value was true","   let u:Student in
   u.oclIsNew() and
   u.UserID = userID and
   u.Name = name and
   u.Email = email and
   u.Password = password and
   u.Sex = sex and
   u.Faculty = faculty and
   u.LoanedNumber = 0 and
   u.BorrowStatus = BorrowStatus::NORMAL and
   u.SuspensionDays = 0 and
   u.OverDueFee = 0 and
   u.Major = major and
   u.Programme = programme and
   u.RegistrationStatus = registrationStatus and
   User.allInstance()->includes(u) and
   Student.allInstance()->includes(u) and
   result = true
","Postcondition
","Generate OCL : u represented the object of class Student
  The object u was created
  The attribute UserID of the object u became userID
  The attribute Name of the object u became name
  The attribute Email of the object u became email
  The attribute Password of the object u became password
  The attribute Sex of the object u became sex
  The attribute Faculty of the object u became faculty
  The attribute LoanedNumber of the object u became 0
  The attribute BorrowStatus of the object u became NORMAL
  The attribute SuspensionDays of the object u became 0
  The attribute OverDueFee of the object u became 0
  The attribute Major of the object u became major
  The attribute Programme of the object u became programme
  The attribute RegistrationStatus of the object u became registrationStatus
  The object u was put into the instance set of class User
  The object u was put into the instance set of class Student
  The return value was true","Concode OCL : u represented the object of class Student
  The object u was created
  The attribute UserID of the object u became userID
  The attribute Name of the object u became name
  The attribute Email of the object u became email
  The attribute Password of the object u became password
  The attribute Sex of the object u became sex
  The attribute Faculty of the object u became faculty
  The attribute LoanedNumber of the object u became 0
  The attribute BorrowStatus of the object u became NORMAL
  The attribute SuspensionDays of the object u became 0
  The attribute OverDueFee of the object u became 0
  The attribute Major of the object u became major
  The attribute Programme of the object u became programme
  The attribute RegistrationStatus of the object u became registrationStatus
  The object u was put into the instance set of class User
  The object u was put into the instance set of class Student
  The return value was true","Concode OCL : u represented the object of class Student
  The object u was created
  The attribute UserID of the object u became userID
  The attribute Name of the object u became name
  The attribute Email of the object u became email
  The attribute Password of the object u became password
  The attribute Sex of the object u became sex
  The attribute Faculty of the object u became faculty
  The attribute LoanedNumber of the object u became 0
  The attribute BorrowStatus of the object u became NORMAL
  The attribute SuspensionDays of the object u became 0
  The attribute OverDueFee of the object u became 0
  The attribute Major of the object u became major
  The attribute Programme of the object u became programme
  The attribute RegistrationStatus of the object u became registrationStatus
  The object u was put into the instance set of class User
  The object u was put into the instance set of class Student
  The return value was true"
" user is the object u in the instance set of class Student. u represents an object of class Student, and u meets:
      The attribute UserID of the object u is equal to userID","   user:Student = Student.allInstance()->any(u:Student | u.UserID = userID)
","Definition
","Generate OCL : user is the object u in the instance set of class Student. u represents an object of class Student, and u meets:
      The attribute UserID of the object u is equal to userID","Concode OCL : user is the object u in the instance set of class Student. u represents an object of class Student, and u meets:
      The attribute UserID of the object u is equal to userID","Concode OCL : user is the object u in the instance set of class Student. u represents an object of class Student, and u meets:
      The attribute UserID of the object u is equal to userID"
 user exists,"   user.oclIsUndefined() = false
","Precondition
",Generate OCL : user exists,Concode OCL : user exists,Concode OCL : user exists
