NL,OCL,"2~458出自UML文档，459~473出自SysML文档,474~485出自pssm,486~509出自出自博士论文：Using patterns to develop consistent design constraints, Wahler, Michael S.，510~511出自pssm,512~552出自fuml,553~623出自网站https://wiki.xmldation.com/User_Guides/Studio/5%3A_OCL_Rules"
The multiplicity of the StructuralFeature must be compatible with the multiplicity of the result OutputPin.,structuralFeature.compatibleWith(result),
The type and ordering of the result OutputPin are the same as the type and ordering of the StructuralFeature.,"result.type =structuralFeature.type and
result.isOrdered = structuralFeature.isOrdered",
The type and ordering of the result OutputPin are the same as the type and ordering of the variable.,"result.type =variable.type and
result.isOrdered = variable.isOrdered",
The multiplicity of the variable must be compatible with the multiplicity of the output pin.,variable.compatibleWith(result),
The object InputPin has no type.,object.type = null,
None of the newClassifiers may be abstract.,not newClassifier->exists(isAbstract),
The multiplicity of the object InputPin is 1..1.,"object.is(1,1)",
"The reducer Behavior must have two input ownedParameters and one output ownedParameter, where the type of the output Parameter and the type of elements of the input collection conform to the types of the input
Parameters.","let inputs: OrderedSet(Parameter) = reducer.inputParameters() in
let outputs: OrderedSet(Parameter) = reducer.outputParameters() in
inputs->size()=2 and outputs->size()=1 and
inputs.type->forAll(t |
outputs.type->forAll(conformsTo(t)) and
-- Note that the following only checks the case when the collection is via multiple
tokens.
collection.upperBound()>1 implies collection.type.conformsTo(t))",
The type of the output of the reducer Behavior must conform to the type of the result OutputPin.,reducer.outputParameters().type->forAll(conformsTo(result.type)),
"RemoveStructuralFeatureValueActions removing a value from ordered, non-unique StructuralFeatures must
have a single removeAt InputPin and no value InputPin, if isRemoveDuplicates is false. The removeAt
InputPin must be of type Unlimited Natural with multiplicity 1..1. Otherwise, the Action has a value InputPin
and no removeAt InputPin.","if structuralFeature.isOrdered and not structuralFeature.isUnique and not
isRemoveDuplicates then
value = null and
removeAt <> null and
removeAt.type = UnlimitedNatural and
removeAt.is(1,1)
else
removeAt = null and value <> null
endif",
"ReadVariableActions removing a value from ordered, non-unique Variables must have a single removeAt
InputPin and no value InputPin, if isRemoveDuplicates is false. The removeAt InputPin must be of type
Unlimited Natural with multiplicity 1..1. Otherwise, the Action has a value InputPin and no removeAt
InputPin.","if variable.isOrdered and not variable.isUnique and not isRemoveDuplicates then
value = null and
removeAt <> null and
removeAt.type = UnlimitedNatural and
removeAt.is(1,1)
else
removeAt = null and value <> null
endif",
"The replyValue InputPins must match the output (return, out, and inout) parameters of the operation of the
event of the replyToCall Trigger in number, type, ordering, and multiplicity.","let parameter:OrderedSet(Parameter) =
replyToCall.event.oclAsType(CallEvent).operation.outputParameters() in
replyValue->size()=parameter->size() and
Sequence{1..replyValue->size()}->forAll(i |
replyValue->at(i).type.conformsTo(parameter->at(i).type) and
replyValue->at(i).isOrdered=parameter->at(i).isOrdered and
replyValue->at(i).compatibleWith(parameter->at(i)))",
The event of the replyToCall Trigger must be a CallEvent.,replyToCall.event.oclIsKindOf(CallEvent),
"If onPort is not empty, the Port given by onPort must be an owned or inherited feature of the type of the target
InputPin.",onPort<>null implies target.type.oclAsType(Classifier).allFeatures()->includes(onPort),
"The type, ordering, and multiplicity of an argument InputPin must be the same as the corresponding attribute
of the signal.","let attribute: OrderedSet(Property) = signal.allAttributes() in
Sequence{1..argument->size()}->forAll(i |
argument->at(i).type.conformsTo(attribute->at(i).type) and
argument->at(i).isOrdered = attribute->at(i).isOrdered and
argument->at(i).compatibleWith(attribute->at(i)))",
"The number and order of argument InputPins must be the same as the number and order of attributes of the
signal.",argument->size()=signal.allAttributes()->size(),
"If onPort is not empty, the Port given by onPort must be an owned or inherited feature of the type of the target
InputPin.","not onPort->isEmpty() implies target.type.oclAsType(Classifier).allFeatures()-
>includes(onPort)",
The multiplicity of the object InputPin is 1..1,"object.is(1,1)",
"If the InputPin has a type, then the type or one of its ancestors must have a classifierBehavior.","object.type->notEmpty() implies
(object.type.oclIsKindOf(BehavioredClassifier) and
object.type.oclAsType(BehavioredClassifier).classifierBehavior<>null)",
The multiplicity of the object InputPin must be 1..1.,"object.is(1,1)",
The type of the object InputPin must be either a Behavior or a BehavioredClassifier with a classifierBehavior.,self.behavior()<>null,
A StartObjectBehaviorAction may not specify onPort.,onPort->isEmpty(),
"The structuralFeature must either be an owned or inherited feature of the type of the object InputPin, or it must
be an owned end of a binary Association whose opposite end had as a type to which the type of the object
InputPin conforms.","object.type.oclAsType(Classifier).allFeatures()->includes(structuralFeature) or
object.type.conformsTo(structuralFeature.oclAsType(Property).opposite.type)",
"The visibility of the structuralFeature must allow access from the object performing the
ReadStructuralFeatureAction.","structuralFeature.visibility = VisibilityKind::public or
_'context'.allFeatures()->includes(structuralFeature) or
structuralFeature.visibility=VisibilityKind::protected and
_'context'.conformsTo(structuralFeature.oclAsType(Property).opposite.type.oclAsType(Classifi
er))",
The structuralFeature must not be static.,not structuralFeature.isStatic,
The structuralFeature must have exactly one featuringClassifier.,structuralFeature.featuringClassifier->size() = 1,
"The outgoing ActivityEdges of the OutputPins of a StructuredActivityNode must have targets that are not
within the StructuredActivityNode.",output.outgoing.target->excludesAll(allOwnedNodes()-input),
"The edges of a StructuredActivityNode are all the ActivityEdges with source and target ActivityNodes
contained directly or indirectly within the StructuredActivityNode and at least one of the source or target not
contained in any more deeply nested StructuredActivityNode.","edge=self.sourceNodes().outgoing->intersection(self.allOwnedNodes().incoming)->
union(self.targetNodes().incoming->intersection(self.allOwnedNodes().outgoing))->asSet()",
"The incoming ActivityEdges of an InputPin of a StructuredActivityNode must have sources that are not within
the StructuredActivityNode.",input.incoming.source->excludesAll(allOwnedNodes()-output),
The multiplicity of the InputPins is 1..1.,"first.is(1,1) and second.is(1,1)",
The InputPins have no type.,first.type= null and second.type = null,
The type of the result OutputPin is Boolean.,result.type=Boolean,
The unmarshallType must have at least one StructuralFeature.,unmarshallType.allAttributes()->size() >= 1,
The number of result outputPins must be the same as the number of attributes of the unmarshallType.,unmarshallType.allAttributes()->size() = result->size(),
"The type, ordering and multiplicity of each attribute of the unmarshallType must be compatible with the type,
ordering and multiplicity of the corresponding result OutputPin.","let attribute:OrderedSet(Property) = unmarshallType.allAttributes() in
Sequence{1..result->size()}->forAll(i |
attribute->at(i).type.conformsTo(result->at(i).type) and
attribute->at(i).isOrdered=result->at(i).isOrdered and
attribute->at(i).compatibleWith(result->at(i)))",
The multiplicity of the object InputPin is 1..1,"object.is(1,1)",
The type of the object InputPin conform to the unmarshallType.,object.type.conformsTo(unmarshallType),
A ValuePin may have no incoming ActivityEdges.,incoming->isEmpty(),
The type of the value ValueSpecification must conform to the type of the ValuePin.,value.type.conformsTo(type),
The multiplicity of the result OutputPin is 1..1,"result.is(1,1)",
The type of the value ValueSpecification must conform to the type of the result OutputPin.,value.type.conformsTo(result.type),
The VariableAction must be in the scope of the variable.,variable.isAccessibleBy(self),
The visibility of at least one end must allow access from the context Classifier of the WriteLinkAction.,"endData.end->exists(end |
end.type=_'context' or
end.visibility=VisibilityKind::public or
end.visibility=VisibilityKind::protected and
endData.end->exists(other |
other<>end and _'context'.conformsTo(other.type.oclAsType(Classifier))))",
The multiplicity of the result OutputPin must be 1..1.,"result <> null implies result.is(1,1)",
The type of the value InputPin must conform to the type of the structuralFeature.,value <> null implies value.type.conformsTo(structuralFeature.type),
The multiplicity of the value InputPin is 1..1.,"value<>null implies value.is(1,1)",
The type of the result OutputPin is the same as the type of the inherited object InputPin.,result <> null implies result.type = object.type,
The type of the value InputPin must conform to the type of the variable.,value <> null implies value.type.conformsTo(variable.type),
The multiplicity of the value InputPin is 1..1.,"value<>null implies value.is(1,1)",
"The Action referenced by the ActionExecutionSpecification must be owned by the Interaction owning that
ActionExecutionSpecification.","(enclosingInteraction->notEmpty() or enclosingOperand.combinedFragment->notEmpty()) and
let parentInteraction : Set(Interaction) = enclosingInteraction.oclAsType(Interaction)-
>asSet()->union(
enclosingOperand.combinedFragment->closure(enclosingOperand.combinedFragment)->
collect(enclosingInteraction).oclAsType(Interaction)->asSet()) in
(parentInteraction->size() = 1) and self.action.interaction->asSet() = parentInteraction",
"If the interactionOperator is break, the corresponding InteractionOperand must cover all Lifelines covered by
the enclosing InteractionFragment.","interactionOperator=InteractionOperatorKind::break implies
enclosingInteraction.oclAsType(InteractionFragment)->asSet()->union(
enclosingOperand.oclAsType(InteractionFragment)->asSet()).covered->asSet() =
self.covered->asSet()",
"The interaction operators 'consider' and 'ignore' can only be used for the ConsiderIgnoreFragment subtype of
CombinedFragment.","((interactionOperator = InteractionOperatorKind::consider) or (interactionOperator =
InteractionOperatorKind::ignore)) implies oclIsKindOf(ConsiderIgnoreFragment)",
"If the interactionOperator is opt, loop, break, assert or neg, there must be exactly one operand.","(interactionOperator = InteractionOperatorKind::opt or interactionOperator =
InteractionOperatorKind::loop or
interactionOperator = InteractionOperatorKind::break or interactionOperator =
InteractionOperatorKind::assert or
interactionOperator = InteractionOperatorKind::neg)
implies operand->size()=1",
The interaction operator of a ConsiderIgnoreFragment must be either 'consider' or 'ignore'.,"(interactionOperator = InteractionOperatorKind::consider) or (interactionOperator =
InteractionOperatorKind::ignore)",
"The NamedElements must be of a type of element that can be a signature for a message (i.e.., an Operation, or
a Signal).",message->forAll(m | m.oclIsKindOf(Operation) or m.oclIsKindOf(Signal)),
"Continuations always occur as the very first InteractionFragment or the very last InteractionFragment of the
enclosing InteractionOperand.","enclosingOperand->notEmpty() and
let peerFragments : OrderedSet(InteractionFragment) = enclosingOperand.fragment in
( peerFragments->notEmpty() and
((peerFragments->first() = self) or (peerFragments->last() = self)))",
"Across all Interaction instances having the same context value, every Lifeline instance covered by a
Continuation (self) must be common with one covered Lifeline instance of all other Continuation instances
with the same name as self, and every Lifeline instance covered by a Continuation instance with the same
name as self must be common with one covered Lifeline instance of self. Lifeline instances are common if they
have the same selector and represents associationEnd values.","enclosingOperand.combinedFragment->notEmpty() and
let parentInteraction : Set(Interaction) =
enclosingOperand.combinedFragment->closure(enclosingOperand.combinedFragment)->
collect(enclosingInteraction).oclAsType(Interaction)->asSet()
in
(parentInteraction->size() = 1)
and let peerInteractions : Set(Interaction) =
(parentInteraction->union(parentInteraction->collect(_'context')->collect(behavior)->
select(oclIsKindOf(Interaction)).oclAsType(Interaction)->asSet())->asSet()) in
(peerInteractions->notEmpty()) and
let combinedFragments1 : Set(CombinedFragment) = peerInteractions.fragment->
select(oclIsKindOf(CombinedFragment)).oclAsType(CombinedFragment)->asSet() in
combinedFragments1->notEmpty() and combinedFragments1->closure(operand.fragment->
select(oclIsKindOf(CombinedFragment)).oclAsType(CombinedFragment))-
>asSet().operand.fragment->
select(oclIsKindOf(Continuation)).oclAsType(Continuation)->asSet()->
forAll(c : Continuation | (c.name = self.name) implies
(c.covered->asSet()->forAll(cl : Lifeline | -- cl must be common to one lifeline covered
by self
self.covered->asSet()->
select(represents = cl.represents and selector = cl.selector)->asSet()->size()=1))
and
(self.covered->asSet()->forAll(cl : Lifeline | -- cl must be common to one lifeline
covered by c
c.covered->asSet()->
select(represents = cl.represents and selector = cl.selector)->asSet()->size()=1))
)",
"Continuations are always global in the enclosing InteractionFragment e.g., it always covers all Lifelines
covered by the enclosing InteractionOperator.","enclosingOperand->notEmpty() and
let operandLifelines : Set(Lifeline) = enclosingOperand.covered in
(operandLifelines->notEmpty() and
operandLifelines->forAll(ol :Lifeline |self.covered->includes(ol)))",
"No other OccurrenceSpecifications on a given Lifeline in an InteractionOperand may appear below a
DestructionOccurrenceSpecification.","let o : InteractionOperand = enclosingOperand in o->notEmpty() and let peerEvents : OrderedSet(OccurrenceSpecification) = covered.events-
>select(enclosingOperand = o)
in peerEvents->last() = self",
The startEvent and the finishEvent must be on the same Lifeline.,start.covered = finish.covered,
"If this Gate is an actualGate, it must have exactly one matching formalGate within the referred Interaction.","interactionUse->notEmpty() implies interactionUse.refersTo.formalGate-
>select(matches(self))->size()=1",
"If this Gate is inside a CombinedFragment, it must have exactly one matching Gate which is outside of that
CombinedFragment.","isInsideCF() implies combinedFragment.cfragmentGate->select(isOutsideCF() and
matches(self))->size()=1",
"If this Gate is outside an 'alt' CombinedFragment, for every InteractionOperator inside that CombinedFragment
there must be exactly one matching Gate inside the CombinedFragment with its opposing end enclosed by that
InteractionOperator. If this Gate is outside CombinedFragment with operator other than 'alt', there must be
exactly one matching Gate inside that CombinedFragment.","isOutsideCF() implies
if self.combinedFragment.interactionOperator->asOrderedSet()->first() =
InteractionOperatorKind::alt
then self.combinedFragment.operand->forAll(op : InteractionOperand |
self.combinedFragment.cfragmentGate->select(isInsideCF() and
oppositeEnd().enclosingFragment()->includes(self.combinedFragment) and matches(self))-
>size()=1)
else self.combinedFragment.cfragmentGate->select(isInsideCF() and matches(self))->size()=1
endif",
"isFormal() implies that no other formalGate of the parent Interaction returns the same getName() as returned
for self.",isFormal() implies interaction.formalGate->select(getName() = self.getName()),
"isActual() implies that no other actualGate of the parent InteractionUse returns the same getName() as returned
for self.","isActual() implies interactionUse.actualGate->select(getName() = self.getName())-
>size()=1",
"isOutsideCF() implies that no other outside cfragmentGate of the parent CombinedFragment returns the same
getName() as returned for self.","isOutsideCF() implies combinedFragment.cfragmentGate->select(getName() =
self.getName())->size()=1",
"isInsideCF() implies that no other inside cfragmentGate attached to a message with its other end in the same
InteractionOperator as self, returns the same getName() as returned for self.","isInsideCF() implies
let selfOperand : InteractionOperand = self.getOperand() in
combinedFragment.cfragmentGate->select(isInsideCF() and getName() = self.getName())-
>select(getOperand() = selfOperand)->size()=1",
"An occurrence specification must not be ordered relative to itself through a series of general orderings. (In
other words, the transitive closure of the general orderings is irreflexive.)",after->closure(toAfter.after)->excludes(before),
An Interaction instance must not be contained within another Interaction instance.,enclosingInteraction->isEmpty(),
"Minint/maxint can only be present if the InteractionConstraint is associated with the operand of a loop
CombinedFragment.","maxint->notEmpty() or minint->notEmpty() implies
interactionOperand.combinedFragment.interactionOperator =
InteractionOperatorKind::loop",
"If minint is specified, then the expression must evaluate to a non-negative integer.",minint->notEmpty() implies minint->asSequence()->first().integerValue() >= 0,
"If maxint is specified, then the expression must evaluate to a positive integer.","maxint->notEmpty() implies
maxint->asSequence()->first().integerValue() > 0",
"If maxint is specified, then minint must be specified and the evaluation of maxint must be >= the evaluation of
minint.","maxint->notEmpty() implies (minint->notEmpty() and
maxint->asSequence()->first().integerValue() >=
minint->asSequence()->first().integerValue() )",
"Actual Gates of the InteractionUse must match Formal Gates of the referred Interaction. Gates match when
their names are equal and their messages correspond.","actualGate->notEmpty() implies
refersTo.formalGate->forAll( fg : Gate | self.actualGate->select(matches(fg))->size()=1) and
self.actualGate->forAll(ag : Gate | refersTo.formalGate->select(matches(ag))->size()=1)",
"The returnValueRecipient must be a Property of a ConnectableElement that is represented by a Lifeline
covered by this InteractionUse.","returnValueRecipient->asSet()->notEmpty() implies
let covCE : Set(ConnectableElement) = covered.represents->asSet() in
covCE->notEmpty() and let classes:Set(Classifier) =
covCE.type.oclIsKindOf(Classifier).oclAsType(Classifier)->asSet() in
let allProps : Set(Property) = classes.attribute->union(classes.allParents().attribute)-
>asSet() in
allProps->includes(returnValueRecipient)",
The type of the returnValue must correspond to the type of the returnValueRecipient.,"returnValue.type->asSequence()->notEmpty() implies returnValue.type->asSequence()-
>first() = returnValueRecipient.type->asSequence()->first()",
"The InteractionUse must cover all Lifelines of the enclosing Interaction that are common with the lifelines
covered by the referred Interaction. Lifelines are common if they have the same selector and represents
associationEnd values.","let parentInteraction : Set(Interaction) = enclosingInteraction->asSet()->
union(enclosingOperand.combinedFragment->closure(enclosingOperand.combinedFragment)->
collect(enclosingInteraction).oclAsType(Interaction)->asSet()) in
parentInteraction->size()=1 and let refInteraction : Interaction = refersTo in
parentInteraction.covered-> forAll(intLifeline : Lifeline | refInteraction.covered->
forAll( refLifeline : Lifeline | refLifeline.represents = intLifeline.represents and
(
( refLifeline.selector.oclIsKindOf(LiteralString) implies
intLifeline.selector.oclIsKindOf(LiteralString) and
refLifeline.selector.oclAsType(LiteralString).value =
intLifeline.selector.oclAsType(LiteralString).value ) and
( refLifeline.selector.oclIsKindOf(LiteralInteger) implies
intLifeline.selector.oclIsKindOf(LiteralInteger) and
refLifeline.selector.oclAsType(LiteralInteger).value =
intLifeline.selector.oclAsType(LiteralInteger).value ))
implies self.covered->asSet()->includes(intLifeline)))",
The selector for a Lifeline must only be specified if the referenced Part is multivalued.,"self.selector->notEmpty() = (self.represents.oclIsKindOf(MultiplicityElement) and
self.represents.oclAsType(MultiplicityElement).isMultivalued())",
"If a lifeline is in an Interaction referred to by an InteractionUse in an enclosing Interaction, and that lifeline is
common with another lifeline in an Interaction referred to by another InteractonUse within that same enclosing
Interaction, it must be common to a lifeline within that enclosing Interaction. By common Lifelines we mean
Lifelines with the same selector and represents associations.","let intUses : Set(InteractionUse) = interaction.interactionUse in
intUses->forAll
( iuse : InteractionUse |
let usingInteraction : Set(Interaction) = iuse.enclosingInteraction->asSet()
->union(
iuse.enclosingOperand.combinedFragment->asSet()-
>closure(enclosingOperand.combinedFragment).enclosingInteraction->asSet())
in
let peerUses : Set(InteractionUse) = usingInteraction.fragment-
>select(oclIsKindOf(InteractionUse)).oclAsType(InteractionUse)->asSet()
->union(
usingInteraction.fragment-
>select(oclIsKindOf(CombinedFragment)).oclAsType(CombinedFragment)->asSet()
->closure(operand.fragment-
>select(oclIsKindOf(CombinedFragment)).oclAsType(CombinedFragment)).operand.fragment->
select(oclIsKindOf(InteractionUse)).oclAsType(InteractionUse)->asSet()
)->excluding(iuse)
in
peerUses->forAll( peerUse : InteractionUse |
peerUse.refersTo.lifeline->forAll( l : Lifeline | (l.represents = self.represents and
( self.selector.oclIsKindOf(LiteralString) implies
l.selector.oclIsKindOf(LiteralString) and
self.selector.oclAsType(LiteralString).value = l.selector.oclAsType(LiteralString).value )
and
( self.selector.oclIsKindOf(LiteralInteger) implies
l.selector.oclIsKindOf(LiteralInteger) and
self.selector.oclAsType(LiteralInteger).value = l.selector.oclAsType(LiteralInteger).value
))
implies
usingInteraction.lifeline->select(represents = self.represents and
( self.selector.oclIsKindOf(LiteralString) implies
l.selector.oclIsKindOf(LiteralString) and
self.selector.oclAsType(LiteralString).value = l.selector.oclAsType(LiteralString).value )
and
( self.selector.oclIsKindOf(LiteralInteger) implies
l.selector.oclIsKindOf(LiteralInteger) and
self.selector.oclAsType(LiteralInteger).value = l.selector.oclAsType(LiteralInteger).value
))
)
)
)",
,,
"The classifier containing the referenced ConnectableElement must be the same classifier, or an ancestor, of the
classifier that contains the interaction enclosing this lifeline.",represents.namespace->closure(namespace)->includes(interaction._'context'),
"The selector value, if present, must be a LiteralString or a LiteralInteger.","self.selector->notEmpty() implies
self.selector.oclIsKindOf(LiteralInteger) or
self.selector.oclIsKindOf(LiteralString)",
"If the sendEvent and the receiveEvent of the same Message are on the same Lifeline, the sendEvent must be
ordered before the receiveEvent.","receiveEvent.oclIsKindOf(MessageOccurrenceSpecification)
implies let f : Lifeline = sendEvent-
>select(oclIsKindOf(MessageOccurrenceSpecification)).oclAsType(MessageOccurrenceSpecificatio
n)->asOrderedSet()->first().covered in
f = receiveEvent-
>select(oclIsKindOf(MessageOccurrenceSpecification)).oclAsType(MessageOccurrenceSpecificatio
n)->asOrderedSet()->first().covered implies
f.events->indexOf(sendEvent.oclAsType(MessageOccurrenceSpecification)->asOrderedSet()-
>first() ) <
f.events->indexOf(receiveEvent.oclAsType(MessageOccurrenceSpecification)->asOrderedSet()-
>first() )",
"Messages cannot cross boundaries of CombinedFragments or their operands. This is true if and only if both
MessageEnds are enclosed within the same InteractionFragment (i.e., an InteractionOperand or an Interaction).","sendEvent->notEmpty() and receiveEvent->notEmpty() implies
let sendEnclosingFrag : Set(InteractionFragment) =
sendEvent->asOrderedSet()->first().enclosingFragment()
in
let receiveEnclosingFrag : Set(InteractionFragment) =
receiveEvent->asOrderedSet()->first().enclosingFragment()
in sendEnclosingFrag = receiveEnclosingFrag",
"In the case when the Message signature is a Signal, the arguments of the Message must correspond to the
attributes of the Signal. A Message Argument corresponds to a Signal Attribute if the Argument is of the same
Class or a specialization of that of the Attribute.","(messageSort = MessageSort::asynchSignal ) and signature.oclIsKindOf(Signal) implies
let signalAttributes : OrderedSet(Property) =
signature.oclAsType(Signal).inheritedMember()->
select(n:NamedElement | n.oclIsTypeOf(Property))->collect(oclAsType(Property))-
>asOrderedSet()
in signalAttributes->size() = self.argument->size()
and self.argument->forAll( o: ValueSpecification |
not (o.oclIsKindOf(Expression)
and o.oclAsType(Expression).symbol->size()=0
and o.oclAsType(Expression).operand->isEmpty() ) implies
let p : Property = signalAttributes->at(self.argument->indexOf(o))
in o.type.oclAsType(Classifier).conformsTo(p.type.oclAsType(Classifier)))",
"The signature must either refer an Operation (in which case messageSort is either synchCall or asynchCall or
reply) or a Signal (in which case messageSort is asynchSignal). The name of the NamedElement referenced by
signature must be the same as that of the Message.","signature->notEmpty() implies
((signature.oclIsKindOf(Operation) and
(messageSort = MessageSort::asynchCall or messageSort = MessageSort::synchCall or
messageSort = MessageSort::reply)
) or (signature.oclIsKindOf(Signal) and messageSort = MessageSort::asynchSignal )
) and name = signature.name",
"In the case when a Message with messageSort synchCall or asynchCall has a non empty Operation signature,
the arguments of the Message must correspond to the in and inout parameters of the Operation. A Parameter
corresponds to an Argument if the Argument is of the same Class or a specialization of that of the Parameter.","(messageSort = MessageSort::asynchCall or messageSort = MessageSort::synchCall) and
signature.oclIsKindOf(Operation) implies
let requestParms : OrderedSet(Parameter) = signature.oclAsType(Operation).ownedParameter->
select(direction = ParameterDirectionKind::inout or direction =
ParameterDirectionKind::_'in' )
in requestParms->size() = self.argument->size() and
self.argument->forAll( o: ValueSpecification |
not (o.oclIsKindOf(Expression) and o.oclAsType(Expression).symbol->size()=0 and
o.oclAsType(Expression).operand->isEmpty() ) implies
let p : Parameter = requestParms->at(self.argument->indexOf(o)) in
o.type.oclAsType(Classifier).conformsTo(p.type.oclAsType(Classifier))
)",
"In the case when a Message with messageSort reply has a non empty Operation signature, the arguments of the
Message must correspond to the out, inout, and return parameters of the Operation. A Parameter corresponds to
an Argument if the Argument is of the same Class or a specialization of that of the Parameter.","(messageSort = MessageSort::reply) and signature.oclIsKindOf(Operation) implies
let replyParms : OrderedSet(Parameter) = signature.oclAsType(Operation).ownedParameter->
select(direction = ParameterDirectionKind::inout or direction = ParameterDirectionKind::out
or direction = ParameterDirectionKind::return)
in replyParms->size() = self.argument->size() and
self.argument->forAll( o: ValueSpecification | o.oclIsKindOf(Expression) and let e :
Expression = o.oclAsType(Expression) in
e.operand->notEmpty() implies
let p : Parameter = replyParms->at(self.argument->indexOf(o)) in
e.operand->asSequence()-
>first().type.oclAsType(Classifier).conformsTo(p.type.oclAsType(Classifier))
)",
"An Actor can only have Associations to UseCases, Components, and Classes. Furthermore these Associations
must be binary.","Association.allInstances()->forAll( a |
a.memberEnd->collect(type)->includes(self) implies
(
a.memberEnd->size() = 2 and
let actorEnd : Property = a.memberEnd->any(type = self) in
actorEnd.opposite.class.oclIsKindOf(UseCase) or
( actorEnd.opposite.class.oclIsKindOf(Class) and not
actorEnd.opposite.class.oclIsKindOf(Behavior))
)
)",
An Actor must have a name.,name->notEmpty(),
The ExtensionPoints referenced by the Extend relationship must belong to the UseCase that is being extended.,extensionLocation->forAll (xp | extendedCase.extensionPoint->includes(xp)),
An ExtensionPoint must have a name.,name->notEmpty (),
UseCases can only be involved in binary Associations.,"Association.allInstances()->forAll(a | a.memberEnd.type->includes(self) implies
a.memberEnd->size() = 2)",
UseCases cannot have Associations to UseCases specifying the same subject.,"Association.allInstances()->forAll(a | a.memberEnd.type->includes(self) implies
(
let usecases: Set(UseCase) = a.memberEnd.type->select(oclIsKindOf(UseCase))-
>collect(oclAsType(UseCase))->asSet() in
usecases->size() > 1 implies usecases->collect(subject)->size() > 1
)
)",
A UseCase cannot include UseCases that directly or indirectly include it.,not allIncludedUseCases()->includes(self),
A UseCase must have a name.,name -> notEmpty (),
The association ends of a CommunicationPath are typed by DeploymentTargets.,endType->forAll (oclIsKindOf(DeploymentTarget)),
The DeploymentTarget of a DeploymentSpecification is a kind of ExecutionEnvironment.,deployment->forAll (location.oclIsKindOf(ExecutionEnvironment)),
"The deployedElements of a DeploymentTarget that are involved in a Deployment that has an associated
Deployment-Specification is a kind of Component (i.e., the configured components).",deployment->forAll (location.deployedElement->forAll (oclIsKindOf(Component))),
The internal structure of a Node (if defined) consists solely of parts of type Node.,part->forAll(oclIsKindOf(Node)),
"The sources and targets of the information flow can only be one of the following kind: Actor, Node, UseCase,
Artifact, Class, Component, Port, Property, Interface, Package, ActivityNode, ActivityPartition, Behavior and
InstanceSpecification except when its classifier is a relationship (i.e. it represents a link).","(self.informationSource->forAll( sis |
oclIsKindOf(Actor) or oclIsKindOf(Node) or oclIsKindOf(UseCase) or oclIsKindOf(Artifact)
or
oclIsKindOf(Class) or oclIsKindOf(Component) or oclIsKindOf(Port) or oclIsKindOf(Property)
or
oclIsKindOf(Interface) or oclIsKindOf(Package) or oclIsKindOf(ActivityNode) or
oclIsKindOf(ActivityPartition) or
(oclIsKindOf(InstanceSpecification) and not
sis.oclAsType(InstanceSpecification).classifier->exists(oclIsKindOf(Relationship)))))
and
(self.informationTarget->forAll( sit |
oclIsKindOf(Actor) or oclIsKindOf(Node) or oclIsKindOf(UseCase) or oclIsKindOf(Artifact)
or
oclIsKindOf(Class) or oclIsKindOf(Component) or oclIsKindOf(Port) or oclIsKindOf(Property)
or
oclIsKindOf(Interface) or oclIsKindOf(Package) or oclIsKindOf(ActivityNode) or
oclIsKindOf(ActivityPartition) or
(oclIsKindOf(InstanceSpecification) and not sit.oclAsType(InstanceSpecification).classifier-
>exists(oclIsKindOf(Relationship)))))",
An information flow can only convey classifiers that are allowed to represent an information item.,"self.conveyed->forAll(oclIsKindOf(Class) or oclIsKindOf(Interface)
or oclIsKindOf(InformationItem) or oclIsKindOf(Signal) or oclIsKindOf(Component))",
"The sources and targets of an information item (its related information flows) must designate subsets of the
sources and targets of the representation information item, if any. The Classifiers that can realize an
information item can only be of the following kind: Class, Interface, InformationItem, Signal, Component.","(self.represented->select(oclIsKindOf(InformationItem))->forAll(p |
p.conveyingFlow.source->forAll(q | self.conveyingFlow.source->includes(q)) and
p.conveyingFlow.target->forAll(q | self.conveyingFlow.target->includes(q)))) and
(self.represented->forAll(oclIsKindOf(Class) or oclIsKindOf(Interface) or
oclIsKindOf(InformationItem) or oclIsKindOf(Signal) or oclIsKindOf(Component)))",
"An informationItem has no feature, no generalization, and no associations.",self.generalization->isEmpty() and self.feature->isEmpty(),
It is not instantiable.,isAbstract,
isFrame and isActivityFrame must not be true at the same time.,not (isActivityFrame and isFrame),
modelElement must be an Association end.,not modelElement->forAll(association->isEmpty()),
UMLAssociationOrConnectorOrLinkShapes must have exactly one modelElement.,modelElement->size()=1,
"modelElement must be an Association, Connector, or InstanceSpecification with an Association classifier.","modelElement->asSequence()->first().oclIsKindOf(Association) or modelElement-
>asSequence()->first().oclIsKindOf(Connector)
or ( modelElement->asSequence()->first().oclIsKindOf(InstanceSpecification)
and (modelElement->asSequence()->first().oclAsType(InstanceSpecification).classifier-
>select(oclIsKindOf(Association))->size() > 0))",
"For diamond kind and an Association modelElement, the Association has exactly two memberEnds, and
exactly two of the UMLEdges linked to the shape have those memberEnds as modelElements.","(kind=UMLAssociationOrConnectorOrLinkShapeKind::diamond and modelElement-
>forAll(oclIsKindOf(Association))) implies
let association : Association = modelElement->any(true).oclAsType(Association) in
((association.memberEnd->size() = 2) and
(sourceEdge.modelElement->union(targetEdge.modelElement)->select(em |
association.memberEnd->includes(em))->size()=2))",
